perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_USER_PRESENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_sec_android_provider_badge_permission_READ,perm_com_sec_android_provider_badge_permission_WRITE,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_anddoes_launcher_permission_UPDATE_COUNT,intent_com_google_android_c2dm_intent_REGISTRATION,intent_com_google_android_gms_iid_InstanceID,perm_com_majeur_launcher_permission_UPDATE_BADGE,n_providers,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Ldalvik_system_PathClassLoader_,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,perm_com_sonymobile_home_permission_PROVIDER_INSERT_BADGE,perm_android_permission_SEND_SMS,perm_android_permission_READ_SMS,suspicious_getCellLocation,suspicious_getDeviceId,n_api_calls,intent_com_google_firebase_MESSAGING_EVENT,perm_com_oppo_launcher_permission_WRITE_SETTINGS,perm_android_permission_READ_APP_BADGE,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,33,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,16,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,8,0,0,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,2,0,1,1,1,0,0,0,0,20,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,21,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,20,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,1,29,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21,0,0,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,15,0,1,1,0
