suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getCellLocation,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_USER_PRESENT,suspicious_adb_enabled,perm_android_permission_GET_TASKS,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_PACKAGE_ADDED,suspicious_getWifiState,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_google_android_c2dm_permission_RECEIVE,n_providers,n_urls,perm_android_permission_RECEIVE_SMS,perm_android_permission_SEND_SMS,perm_android_permission_CHANGE_WIFI_STATE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Landroid_telephony_SmsMessage___getMessageBody,intent_android_intent_action_PACKAGE_REMOVED,n_used_permissions,n_api_calls,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_majeur_launcher_permission_UPDATE_BADGE,intent_com_google_android_gms_iid_InstanceID,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_android_permission_BLUETOOTH,label
0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,1,25,0,0,0,0,0,0,11,20,0,0,0,0,0,0
0,1,19,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,7,29,0,0,0,0,0,0
0,0,9,0,0,0,0,0,1,0,1,0,0,0,1,4,41,0,0,0,1,0,0,9,24,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,59,0,0,0,0,0,0,4,7,0,0,0,0,0,0
0,1,18,0,0,0,0,0,0,1,0,0,0,0,1,1,23,0,0,0,1,0,0,6,27,0,0,0,0,0,0
0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,6,20,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,6,14,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,20,0,0,0,0,0,0
0,1,12,1,0,0,0,0,0,1,0,0,0,1,0,0,44,0,0,0,0,0,0,8,30,0,0,0,0,0,0
