n_api_calls,suspicious_getCellLocation,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_READ_PHONE_STATE,intent_com_google_android_c2dm_intent_RECEIVE,n_permissions,n_providers,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_ACCESS_WIFI_STATE,intent_com_android_vending_INSTALL_REFERRER,suspicious_Ldalvik_system_PathClassLoader_,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_READ_LOGS,perm_android_permission_READ_SMS,perm_android_permission_SEND_SMS,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_system_bin_su,suspicious_Ljava_lang_Runtime___exec,n_urls,label
24,0,0,0,0,0,0,0,0,0,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
16,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0
20,0,0,0,0,0,0,0,0,0,1,5,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,36,0
0,0,0,1,0,0,1,1,0,1,0,15,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
31,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,29,0
11,0,0,0,0,0,1,1,0,0,1,16,2,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,135,0
17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0
24,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0
16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0
26,0,0,0,0,1,1,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0
