perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_sec_android_provider_badge_permission_READ,perm_com_sec_android_provider_badge_permission_WRITE,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_sonymobile_home_permission_PROVIDER_INSERT_BADGE,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,perm_android_permission_READ_APP_BADGE,perm_com_oppo_launcher_permission_WRITE_SETTINGS,perm_android_permission_READ_PHONE_STATE,intent_com_google_android_c2dm_intent_RECEIVE,n_api_calls,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,perm_me_everything_badger_permission_BADGE_COUNT_WRITE,perm_me_everything_badger_permission_BADGE_COUNT_READ,intent_com_google_android_gms_iid_InstanceID,n_urls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_receivers,suspicious_getPackageInfo,intent_android_intent_action_MY_PACKAGE_REPLACED,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,label
0,0,0,0,0,0,0,0,0,0,0,1,23,1,1,0,0,0,0,0,42,0,12,1,1,3,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,19,0,9,0,0,2,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,34,0,7,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,24,0,12,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,12,0,7,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,26,0,1,0,0,1,1,0,36,0,13,1,1,4,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,11,0,1,0,1,0,0,0,35,1,5,1,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,45,1,1,0,0,0,0,0,80,0,19,1,0,10,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,21,0,1,0,0,0,0,0,80,0,9,0,1,2,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,0,7,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,15,0,9,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0,0,0,28,0,10,1,0,3,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,34,0,1,0,0,0,0,0,24,0,9,0,1,4,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,18,1,0,0,0,1,1,0,10,0,9,1,1,6,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,34,0,5,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,0,43,0,11,1,0,5,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,7,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,0,0,0,0,0,48,0,11,1,1,4,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,22,0,7,1,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,69,0,1,1,1,0,0,0,202,1,21,1,1,18,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,51,0,1,1,1,0,0,0,93,1,17,0,1,7,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,13,1,1,0,0,0,0,0,19,0,6,0,1,2,1,0,0,0,0
