n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_providers,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_FINE_LOCATION,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_activities,suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,n_services,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_android_appwidget_action_APPWIDGET_CONFIGURE,intent_com_google_android_gms_analytics_ANALYTICS_DISPATCH,n_used_permissions,n_urls,n_receivers,perm_com_android_vending_BILLING,label
21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,13,0,0,0
10,0,0,1,0,0,31,4,0,0,1,1,1,1,1,1,0,53,0,0,0,0,10,0,0,0,6,50,5,0,0
15,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,13,0,0,0
0,0,1,1,1,1,42,0,1,1,1,0,0,0,0,0,0,9,0,1,1,1,12,0,0,0,0,0,5,0,0
17,0,0,0,0,0,8,1,0,0,1,1,1,1,1,1,0,11,0,0,0,0,5,0,0,0,6,57,4,0,0
7,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,35,0,0,0
17,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,8,30,0,0,0
17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,7,18,0,1,0
7,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,5,50,3,0,0
21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,9,18,0,0,0
18,0,0,0,0,0,7,1,0,0,0,1,0,1,1,1,0,5,0,0,0,0,2,0,0,0,9,13,4,0,0
20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,10,24,0,0,0
26,0,1,0,0,0,20,0,0,0,0,0,0,1,1,1,0,5,0,0,0,0,3,0,0,0,6,3,7,0,0
9,0,0,1,0,1,20,2,1,0,1,0,0,0,0,0,0,33,0,1,0,0,2,0,0,0,8,103,1,1,0
20,0,1,1,0,0,35,1,0,0,1,1,1,1,1,1,0,23,0,0,0,0,10,0,0,0,7,126,8,0,0
18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,14,0,0,0
16,0,0,0,0,0,20,2,0,0,0,1,1,1,1,1,0,2,0,0,0,0,5,0,0,0,6,6,4,0,0
55,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,29,1,0,0,0,2,0,0,0,15,75,3,0,0
38,1,1,0,0,1,18,1,1,0,0,0,0,1,1,1,0,55,1,0,0,0,4,0,0,0,12,65,2,0,0
