n_api_calls,suspicious_getCellLocation,perm_android_permission_GET_TASKS,suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_USER_PRESENT,perm_android_permission_SEND_SMS,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_INSTANCE_ID_EVENT,n_providers,perm_android_permission_ACCESS_WIFI_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_WRITE_SETTINGS,perm_android_permission_RECEIVE_SMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_android_vending_INSTALL_REFERRER,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_services,suspicious_sendTextMessage,n_receivers,perm_android_permission_CHANGE_NETWORK_STATE,label
21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
30,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,23,5,0,3,1,0
18,0,0,0,1,0,0,0,1,1,0,1,4,1,1,1,0,0,0,0,1,0,1,1,1,18,19,0,23,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
27,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16,3,0,2,0,0
33,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,13,3,0,1,0,0
22,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,1,1,0,14,15,0,10,0,0
42,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,49,25,0,11,1,0
32,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
19,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,20,12,0,8,0,1
